influencer_id,platform,date,URL,caption,reach,likes,comments
90,TikTok,2025-05-19,http://hardy.com/,Day decade go serve boy.,23649,539,178
244,TikTok,2025-05-24,http://www.jackson.com/,Require save whatever old computer political drug minute couple.,1351,1512,423
195,YouTube,2025-06-03,https://butler.net/,Writer action situation show traditional writer tax assume.,42327,7179,438
106,YouTube,2025-06-25,http://www.wright.com/,Police especially hope force benefit debate culture focus evening.,49202,5303,208
459,YouTube,2025-06-16,http://www.leach.com/,Attention task toward identify sign them human design population.,1449,5183,25
206,Instagram,2025-07-14,https://marquez.com/,Trip generation such create difficult history wear direction weight performance.,8172,7458,237
71,YouTube,2025-05-09,https://www.hill.com/,Body brother nation fire stuff.,4068,9219,424
410,YouTube,2025-05-04,https://bailey-garcia.com/,Serious talk suddenly yet method.,14469,400,20
357,Twitter,2025-06-08,http://king.com/,Reveal protect interview hear between economy mission.,41424,1462,220
417,Twitter,2025-04-24,http://williams-ferguson.com/,Like sea trouble feeling include each foreign.,7863,9023,343
428,YouTube,2025-07-08,http://mitchell.com/,Product cultural help same employee voice society property.,25344,2618,259
496,TikTok,2025-06-04,https://chase-gill.com/,Role charge though tough move feeling.,21841,1156,472
32,YouTube,2025-06-30,http://avila.com/,Training high sister quickly similar three.,34560,4661,17
166,TikTok,2025-05-17,https://www.bennett.info/,Charge rise him stuff offer few position than.,3378,6882,277
212,TikTok,2025-05-15,http://www.holder-liu.com/,Where outside surface mouth continue wife serve.,44328,4680,353
10,Instagram,2025-05-10,http://www.norris.biz/,Cut his thank fast move everybody why paper new.,6856,775,70
335,Twitter,2025-05-16,http://sutton-smith.com/,Area bank organization car treat think speech.,38120,8655,431
463,Twitter,2025-04-30,http://chang.org/,Hope key grow environmental choice better same.,14486,7997,192
198,Twitter,2025-06-21,https://drake.com/,Response spend best reality prepare so long someone.,36144,5063,150
247,YouTube,2025-07-04,https://white-underwood.com/,Task contain character only think southern between western determine real.,39170,2510,475
217,TikTok,2025-07-09,https://www.leach-owens.net/,Cell water public continue trial glass kid network let society.,11533,6269,172
129,Twitter,2025-04-27,http://henderson-price.com/,Option but thank Congress run father very ready behind.,28026,8938,230
198,YouTube,2025-04-23,https://www.jones.biz/,Rich lay know note respond music worker.,38584,7090,327
333,YouTube,2025-05-05,https://fox.biz/,Tend sell choice travel usually.,49779,9396,29
75,TikTok,2025-06-27,http://hernandez.org/,Rule direction health process ahead spend dark participant me space.,34345,9244,63
472,TikTok,2025-06-05,http://www.anderson-parks.com/,Speech institution significant shake at.,6319,1843,363
468,YouTube,2025-06-19,https://www.collins-cross.org/,Floor south management expert expert nature.,45064,7891,76
90,Twitter,2025-07-01,https://www.roach-curry.info/,Beyond get try race consider power guy.,43491,3040,391
281,Twitter,2025-06-15,https://www.brown.com/,Market suddenly positive later TV read consider beat sure economic.,36538,7907,200
52,YouTube,2025-04-29,https://www.long-sullivan.info/,Eight baby half economy training provide personal board school.,23945,4529,369
308,Twitter,2025-05-11,https://vega.com/,Top imagine style sign particular measure.,22277,9298,492
12,Twitter,2025-07-19,https://www.cline.com/,Indicate owner side tax when.,14587,2221,499
46,YouTube,2025-07-12,https://henderson.net/,Open local magazine low maintain bring.,36921,7717,360
137,Twitter,2025-06-16,http://henry.com/,Step walk show save level same return teacher miss.,39519,9028,129
