source,campaign,influencer_id,user_id,product,brand,date,orders,revenue
jones.com,Campaign_1,444,user_778,Kids Protein,Gritzo,2025-05-30,8,342.82
douglas.net,Campaign_10,196,user_332,Multivitamins,HKVitals,2025-07-14,3,80.92
sutton-newman.info,Campaign_6,106,user_385,Melatonin,HKVitals,2025-06-06,9,25.09
mendoza.com,Campaign_4,458,user_589,BCAA,MuscleBlaze,2025-07-18,4,469.14
jennings.com,Campaign_2,430,user_397,Creatine,MuscleBlaze,2025-06-09,7,115.26
hood.com,Campaign_7,272,user_6,Mass Gainer,MuscleBlaze,2025-06-13,3,222.54
baker.com,Campaign_2,183,user_785,Immunity Booster,Gritzo,2025-05-30,2,221.04
cobb-nash.com,Campaign_6,139,user_766,BCAA,MuscleBlaze,2025-07-05,9,61.26
hensley.com,Campaign_7,33,user_425,Creatine,MuscleBlaze,2025-06-19,9,406.0
morgan.com,Campaign_7,86,user_953,Kids Protein,Gritzo,2025-07-06,6,309.76
martin.com,Campaign_8,117,user_975,Creatine,MuscleBlaze,2025-06-04,4,276.84
smith.com,Campaign_9,434,user_164,Whey Protein,MuscleBlaze,2025-05-26,2,434.21
mills-kirk.com,Campaign_6,180,user_531,Mass Gainer,MuscleBlaze,2025-06-30,7,456.94
mendoza.biz,Campaign_10,75,user_359,Biotin,HKVitals,2025-05-30,4,81.76
sullivan.com,Campaign_8,220,user_234,Mass Gainer,MuscleBlaze,2025-07-10,3,350.05
turner.com,Campaign_2,62,user_396,Immunity Booster,Gritzo,2025-06-30,2,148.78
rojas-ross.com,Campaign_4,482,user_838,BCAA,MuscleBlaze,2025-07-06,2,394.6
hill.com,Campaign_5,169,user_775,Immunity Booster,Gritzo,2025-07-21,7,76.06
jones.com,Campaign_2,267,user_647,SuperMilk,Gritzo,2025-07-09,8,110.24
shaffer-leonard.com,Campaign_2,122,user_676,BCAA,MuscleBlaze,2025-05-25,4,122.23
brown-smith.com,Campaign_3,7,user_740,Melatonin,HKVitals,2025-07-01,8,319.05
richards.com,Campaign_10,335,user_500,Biotin,HKVitals,2025-07-06,3,340.63
lewis.biz,Campaign_3,212,user_840,Whey Protein,MuscleBlaze,2025-06-18,7,460.92
henry.net,Campaign_9,400,user_317,Melatonin,HKVitals,2025-06-07,8,55.58
sanders.com,Campaign_9,285,user_620,BCAA,MuscleBlaze,2025-05-28,5,348.43
matthews.info,Campaign_2,261,user_175,Multivitamins,HKVitals,2025-06-10,6,26.0
bridges-gonzalez.com,Campaign_1,213,user_573,Biotin,HKVitals,2025-05-26,3,264.47
porter.net,Campaign_5,320,user_645,BCAA,MuscleBlaze,2025-06-21,4,241.04
butler.com,Campaign_3,399,user_823,Melatonin,HKVitals,2025-05-25,3,41.62
vang.com,Campaign_4,390,user_69,Melatonin,HKVitals,2025-06-25,1,109.67
luna-barajas.net,Campaign_9,305,user_542,Kids Protein,Gritzo,2025-06-30,2,404.86
henderson-harris.org,Campaign_6,215,user_982,Fish Oil,HKVitals,2025-06-07,7,165.96
carter-sullivan.com,Campaign_3,364,user_987,Mass Gainer,MuscleBlaze,2025-07-12,3,251.4
parker-moore.com,Campaign_5,435,user_482,Melatonin,HKVitals,2025-06-17,1,209.25
martinez.org,Campaign_8,298,user_988,SuperMilk,Gritzo,2025-06-11,5,109.1
williams-harris.com,Campaign_10,109,user_79,Mass Gainer,MuscleBlaze,2025-07-11,1,471.67
walter-gutierrez.com,Campaign_7,349,user_830,Kids Protein,Gritzo,2025-05-30,1,45.42
hicks-meyer.com,Campaign_6,321,user_784,Mass Gainer,MuscleBlaze,2025-06-09,6,241.87
collins.info,Campaign_6,261,user_76,Biotin,HKVitals,2025-07-11,9,181.45
ferrell-wong.info,Campaign_5,457,user_835,BCAA,MuscleBlaze,2025-07-07,1,340.04
manning.net,Campaign_6,207,user_712,Whey Protein,MuscleBlaze,2025-05-30,7,330.56
robinson.com,Campaign_1,113,user_207,Melatonin,HKVitals,2025-06-30,2,354.42
johnson.com,Campaign_9,481,user_938,Immunity Booster,Gritzo,2025-05-28,8,259.61
holt.com,Campaign_6,24,user_725,Biotin,HKVitals,2025-05-25,7,73.12
vargas-moody.net,Campaign_6,293,user_421,BCAA,MuscleBlaze,2025-06-07,2,261.57
wells-werner.com,Campaign_5,309,user_240,Whey Protein,MuscleBlaze,2025-05-28,9,442.03
miller-smith.com,Campaign_9,6,user_360,SuperMilk,Gritzo,2025-06-20,7,177.81
craig.biz,Campaign_9,423,user_789,Creatine,MuscleBlaze,2025-07-08,2,445.35
white-wade.com,Campaign_6,203,user_296,Multivitamins,HKVitals,2025-06-13,2,357.36
jones.com,Campaign_10,89,user_196,BCAA,MuscleBlaze,2025-05-26,5,475.29
nelson-gillespie.com,Campaign_9,190,user_996,Multivitamins,HKVitals,2025-05-26,5,254.3
hubbard-luna.net,Campaign_1,210,user_121,Whey Protein,MuscleBlaze,2025-06-25,9,153.85
wilson.info,Campaign_7,214,user_239,Biotin,HKVitals,2025-06-13,1,55.15
baker.org,Campaign_10,60,user_250,Mass Gainer,MuscleBlaze,2025-07-01,5,23.93
bennett-mahoney.com,Campaign_1,297,user_973,Multivitamins,HKVitals,2025-06-23,3,454.01
mcclure.org,Campaign_5,462,user_121,SuperMilk,Gritzo,2025-05-27,3,290.92
